iter	MultiClass
0	1.998845574
1	1.79865094
2	1.646362374
3	1.512011165
4	1.410535809
5	1.322194941
6	1.240747425
7	1.168867165
8	1.113604822
9	1.063529271
10	1.012239986
11	0.9623925577
12	0.9196918926
13	0.8838494125
14	0.8538068942
15	0.8197523445
16	0.7927066608
17	0.7626219409
18	0.7335991166
19	0.7053297662
20	0.6814285878
21	0.6587296425
22	0.6359956515
23	0.615809368
24	0.5961245677
25	0.5834696268
26	0.5692559881
27	0.554471693
28	0.5414457969
29	0.5274879168
30	0.5134022065
31	0.5035673384
32	0.4892021287
33	0.4767222408
34	0.4659713474
35	0.456105217
36	0.4459864354
37	0.4357815623
38	0.4246046155
39	0.4148751763
40	0.4068660907
41	0.3997373065
42	0.3926564421
43	0.3866534226
44	0.3798848075
45	0.3748987732
46	0.3683450053
47	0.3611649798
48	0.3538549308
49	0.3469959884
50	0.3396134461
51	0.3343149823
52	0.3282275035
53	0.3239899131
54	0.3204008102
55	0.3166566297
56	0.3139295112
57	0.3080955109
58	0.3050404969
59	0.3006821814
60	0.2966821069
61	0.2918416883
62	0.2879252463
63	0.2842226504
64	0.2800615552
65	0.2767079881
66	0.2739409376
67	0.2708553804
68	0.2684404753
69	0.2653019944
70	0.2633647776
71	0.2618373596
72	0.2587466451
73	0.2556241551
74	0.2542007973
75	0.2509494833
76	0.2487859343
77	0.2467037923
78	0.2440497725
79	0.2418745025
80	0.2399913525
81	0.2368137044
82	0.2341537188
83	0.2325218631
84	0.229227443
85	0.2279374317
86	0.2263754725
87	0.2237189966
88	0.2214626469
89	0.2198052073
90	0.2173044471
91	0.215988628
92	0.2141005566
93	0.2127511182
94	0.2104713806
95	0.2091984387
96	0.2076671706
97	0.2060267514
98	0.2045270552
99	0.2028580854
100	0.2018876183
101	0.2003883449
102	0.1991734914
103	0.1972048423
104	0.1960193871
105	0.194683306
106	0.1935232417
107	0.1927479324
108	0.1919926624
109	0.1910190827
110	0.1893273357
111	0.1884635214
112	0.1874131029
113	0.1856188857
114	0.1847365677
115	0.1843045439
116	0.1828825904
117	0.1809207124
118	0.1800874044
119	0.179447765
120	0.178029106
121	0.1768902124
122	0.1757629017
123	0.1746073621
124	0.1741932633
125	0.1731609506
126	0.1729829865
127	0.1723181022
128	0.1716257465
129	0.1707871794
130	0.1700730856
131	0.1695471129
132	0.16921301
133	0.168303553
134	0.1675133381
135	0.1671896318
136	0.1669674269
137	0.1666326984
138	0.1660764736
139	0.165844826
140	0.1653933915
141	0.1642207341
142	0.1629408605
143	0.1619612329
144	0.1613632258
145	0.1612834932
146	0.161218392
147	0.1604039874
148	0.1600893745
149	0.159649564
150	0.1595516278
151	0.1590708615
152	0.1590146328
153	0.1585756017
154	0.1580650813
155	0.1576133594
156	0.1573774073
157	0.1565702879
158	0.1558066671
159	0.1555767053
160	0.1555719106
161	0.1546750313
162	0.1546481917
163	0.1541299075
164	0.1539796098
165	0.1533242098
166	0.1524470889
167	0.1518638642
168	0.1509293637
169	0.1507233325
170	0.1505459081
171	0.1502897715
172	0.1493118984
173	0.1485278986
174	0.1483075525
175	0.1481710838
176	0.1481110499
177	0.1476367423
178	0.1474322677
179	0.1473504409
180	0.1472662493
181	0.1470864878
182	0.1470812363
183	0.146841304
184	0.1466007721
185	0.1465606176
186	0.1454997617
187	0.1454499536
188	0.1451101467
189	0.1450552403
190	0.1448351779
191	0.144629054
192	0.1436801287
193	0.1435115862
194	0.1432570225
195	0.1430354951
196	0.1428082197
197	0.1423780069
198	0.1418826469
199	0.1411395009
200	0.1406781071
201	0.1405593763
202	0.1404356521
203	0.1402637465
204	0.1401224553
205	0.1389870908
206	0.1388063444
207	0.1387263381
208	0.1386724063
209	0.1381854952
210	0.1375599944
211	0.1374278837
212	0.1372924538
213	0.1369200675
214	0.1367695735
215	0.1363623731
216	0.1362362268
217	0.1360109817
218	0.1359328803
219	0.1357883031
220	0.1357319425
221	0.1354527211
222	0.1352704727
223	0.1345872482
224	0.1344726705
225	0.1343978066
226	0.1343226135
227	0.1342942769
228	0.1341585686
229	0.1341090909
230	0.133766445
231	0.1335291627
232	0.1334272348
233	0.1331436479
234	0.1330037116
235	0.1329421812
236	0.1321655801
237	0.1321629667
238	0.1320775099
239	0.1318763812
240	0.1318176434
241	0.1316435651
242	0.1314146402
243	0.1312942715
244	0.1311693257
245	0.1302662692
246	0.1301195955
247	0.1300521481
248	0.1300091922
249	0.1298755898
250	0.1297575395
251	0.1296586176
252	0.1295897073
253	0.12926801
254	0.129143411
255	0.1291370623
256	0.1289980506
257	0.1288842512
258	0.128803285
259	0.1285780318
260	0.1285087524
261	0.1283825393
262	0.1283314847
263	0.1281839362
264	0.1280726342
265	0.12792025
266	0.1276088465
267	0.1275795549
268	0.1274507715
269	0.1271943604
270	0.127114006
271	0.126987392
272	0.1268594362
273	0.1267374952
274	0.1266748449
275	0.1264892484
276	0.1264047449
277	0.1261945946
278	0.1261799458
279	0.1261139826
280	0.125912799
281	0.1258670339
282	0.125066448
283	0.1249490106
284	0.1246651853
285	0.1243757505
286	0.1242862664
287	0.1240425583
288	0.1240398115
289	0.1240362519
290	0.123940879
291	0.1237683282
292	0.1237199091
293	0.1235446315
294	0.1230660671
295	0.122961795
296	0.1227007417
297	0.1224611895
298	0.1222593705
299	0.1222402641
300	0.1218803651
301	0.1208959992
302	0.1206687076
303	0.1206253552
304	0.1205980312
305	0.1203291031
306	0.1198141846
307	0.1196805371
308	0.1195698158
309	0.119518617
310	0.1194678858
311	0.1193375259
312	0.1192395883
313	0.1191268373
314	0.1188099709
315	0.118796642
316	0.1186306237
317	0.1186033819
318	0.1185805559
319	0.118460111
320	0.1182658605
321	0.1181302427
322	0.117969471
323	0.1178696474
324	0.1178424692
325	0.117640659
326	0.1175357255
327	0.1174232787
328	0.1173506057
329	0.1172656264
330	0.1172138202
331	0.117108805
332	0.1169853164
333	0.1169598274
334	0.116533955
335	0.1165180453
336	0.1164827496
337	0.1162959293
338	0.1162055884
339	0.1158572459
340	0.1157690281
341	0.1156858193
342	0.1155941421
343	0.1155917626
344	0.1155364189
345	0.1153671503
346	0.1150922295
347	0.1150357315
348	0.1150151723
349	0.1147779948
350	0.1147522771
351	0.1145764359
352	0.1144739596
353	0.1143984128
354	0.1143141667
355	0.1142143606
356	0.1137618643
357	0.1136112627
358	0.1135466258
359	0.1134957456
360	0.1134778987
361	0.1134757558
362	0.1134170847
363	0.1130935915
364	0.1130079
365	0.1129764975
366	0.1129350172
367	0.1125351255
368	0.1124906191
369	0.1121563457
370	0.1121429729
371	0.1120848881
372	0.1119474328
373	0.1118684449
374	0.1116680801
375	0.1116491117
376	0.1115760353
377	0.1115574824
378	0.1115534694
379	0.111483939
380	0.1112981199
381	0.1111113505
382	0.110968261
383	0.110886315
384	0.1108227964
385	0.1103545363
386	0.1103033127
387	0.1102868259
388	0.1101814363
389	0.1100296575
390	0.1099414444
391	0.1098015533
392	0.1096381958
393	0.1092156482
394	0.1089569008
395	0.1089001506
396	0.108897222
397	0.1088489213
398	0.1087816549
399	0.1084755428
400	0.1083607054
401	0.1083581705
402	0.1082780764
403	0.1081319987
404	0.1078704484
405	0.1077874748
406	0.1077110597
407	0.1076629109
408	0.1076387555
409	0.1076183938
410	0.1075129559
411	0.1073246955
412	0.1072930321
413	0.1071683299
414	0.1070842266
415	0.1069543595
416	0.1069518658
417	0.1068885481
418	0.1068111865
419	0.106662895
420	0.1064919281
421	0.1063788359
422	0.1063546155
423	0.1061198451
424	0.1060740123
425	0.1060520366
426	0.1059592482
427	0.1058368981
428	0.1058063156
429	0.1056445834
430	0.1056425195
431	0.105623351
432	0.1056076534
433	0.1055685465
434	0.1053532074
435	0.1052649949
436	0.1052147999
437	0.105198548
438	0.1051389049
439	0.1051366876
440	0.1049354167
441	0.1048517709
442	0.1047298865
443	0.1043375938
444	0.1042741864
445	0.104167418
446	0.1041553804
447	0.1040405888
448	0.1039476487
449	0.103845339
450	0.1038172275
451	0.1037947489
452	0.1036398196
453	0.1035691277
454	0.103437261
455	0.103266761
456	0.1031990758
457	0.1031722237
458	0.1030799474
459	0.1029825701
460	0.1029324313
461	0.1028670218
462	0.1028228247
463	0.102680438
464	0.1025993318
465	0.1025702669
466	0.1025183917
467	0.1022375081
468	0.1021673646
469	0.1020890515
470	0.1020180991
471	0.1020068122
472	0.1019608408
473	0.1018503154
474	0.1017437725
475	0.1016447829
476	0.1015006702
477	0.1014531988
478	0.1013681281
479	0.1012311481
480	0.1012063073
481	0.1010997081
482	0.1009459368
483	0.1008528325
484	0.1006314926
485	0.1005535848
486	0.1004787658
487	0.1004048673
488	0.1003294139
489	0.1002871428
490	0.1001963308
491	0.1001749398
492	0.1000589292
493	0.1000182473
494	0.09993746262
495	0.09990464694
496	0.09985131909
497	0.09973823005
498	0.09964876211
499	0.09956646007
500	0.09951422195
501	0.09949374244
502	0.09943280809
503	0.09936605954
504	0.09934020615
505	0.09921316056
506	0.09915086307
507	0.09908113602
508	0.09907191743
509	0.09900292434
510	0.09887580674
511	0.09878669316
512	0.098643225
513	0.09845544462
514	0.09843859739
515	0.09836761799
516	0.09827852843
517	0.09818124672
518	0.09812504909
519	0.09795564695
520	0.09783340875
521	0.09775506544
522	0.09760437548
523	0.09757242156
524	0.09750639587
525	0.09748626233
526	0.09747628349
527	0.09742655405
528	0.09732710552
529	0.09726919525
530	0.09721218748
531	0.09697490506
532	0.09695529141
533	0.09686080604
534	0.09677584833
535	0.09672302354
536	0.09666581947
537	0.09658942209
538	0.09655969241
539	0.09643662405
540	0.09637577182
541	0.09634099408
542	0.09628871041
543	0.09620456357
544	0.09608492378
545	0.09603293541
546	0.09600378045
547	0.09596573323
548	0.09587630668
549	0.09586547743
550	0.09581381203
551	0.09576072944
552	0.09574285488
553	0.09565687397
554	0.09557005982
555	0.09543755661
556	0.09538050763
557	0.09535611261
558	0.09532547862
559	0.09505726944
560	0.09496823634
561	0.09494883287
562	0.0947389687
563	0.09450804718
564	0.09442836259
565	0.09433392688
566	0.09401019947
567	0.09396402601
568	0.09394340574
569	0.0938544859
570	0.09383516039
571	0.09381687257
572	0.09374390361
573	0.09373839576
574	0.09354251995
575	0.09346000499
576	0.09333839155
577	0.09327211242
578	0.09325555439
579	0.09310843466
580	0.09309683969
581	0.09307392053
582	0.09296501927
583	0.09295610521
584	0.09286725027
585	0.09284210787
586	0.09253920223
587	0.09242552826
588	0.09240930696
589	0.09234253775
590	0.09227026191
591	0.09221647567
592	0.09202568321
593	0.09197923808
594	0.09194624086
595	0.09193198111
596	0.09185112096
597	0.09182191292
598	0.0918013804
599	0.09154625029
600	0.0915371765
601	0.09152163258
602	0.09151335655
603	0.09134359485
604	0.09126736102
605	0.09111563681
606	0.09111291966
607	0.09110126741
608	0.0909245598
609	0.09091000069
610	0.09089039499
611	0.09082798332
612	0.09075992189
613	0.09063460375
614	0.09057494298
615	0.09056715489
616	0.09050475537
617	0.09045278292
618	0.0901857955
619	0.0899944199
620	0.08992814086
621	0.08985371632
622	0.08981517957
623	0.08969718512
624	0.08958189452
625	0.08951278717
626	0.0893425862
627	0.08929310852
628	0.08918428634
629	0.08904028536
630	0.08888039508
631	0.08868791517
632	0.0886394038
633	0.08856600987
634	0.08855302955
635	0.08852401364
636	0.08844537729
637	0.08820193187
638	0.088120336
639	0.08803184023
640	0.08795129204
641	0.08789967191
642	0.08769290473
643	0.0876226525
644	0.08755908428
645	0.08750973142
646	0.08738811179
647	0.0872548067
648	0.08723691824
649	0.08721969863
650	0.08717458481
651	0.0868706975
652	0.08685427437
653	0.08675794308
654	0.0866632215
655	0.08654561732
656	0.08653825024
657	0.08647152306
658	0.08625422535
659	0.08620140398
660	0.08613443079
661	0.08609053713
662	0.08599068201
663	0.08590925368
664	0.08586527389
665	0.08581659704
666	0.08577202671
667	0.08565545988
668	0.08560860935
669	0.08551837214
670	0.08537692189
671	0.08514716518
672	0.08510398037
673	0.08498095983
674	0.08495998574
675	0.08484734285
676	0.08477172109
677	0.0847263223
678	0.0847014166
679	0.08461383511
680	0.08445025011
681	0.08439970757
682	0.08437420525
683	0.08395735463
684	0.08382739017
685	0.0837787919
686	0.08372250204
687	0.08357131017
688	0.08350399756
689	0.08346585407
690	0.08343837698
691	0.08331301269
692	0.08322918057
693	0.08312827924
694	0.08306566783
695	0.08303124235
696	0.08299949307
697	0.0829332109
698	0.08286549773
699	0.08271668986
700	0.08258944541
701	0.08252139604
702	0.08244636559
703	0.08236068166
704	0.08233249573
705	0.08226349012
706	0.08218543901
707	0.08216274661
708	0.08211574207
709	0.08203991029
710	0.0819293243
711	0.08186457282
712	0.0818381356
713	0.0818279185
714	0.08173810832
715	0.08169528178
716	0.08158984876
717	0.08154716529
718	0.08152464646
719	0.08141999258
720	0.08141465243
721	0.08138291057
722	0.08135484453
723	0.08130527336
724	0.08123900051
725	0.08123225243
726	0.08120959082
727	0.08119139353
728	0.08115481241
729	0.08114052085
730	0.08105381348
731	0.08099118123
732	0.08092772694
733	0.08087217911
734	0.0808150658
735	0.08074032847
736	0.08073614322
737	0.08061774965
738	0.08058466895
739	0.08057657576
740	0.08049245986
741	0.08045638861
742	0.08032824917
743	0.08022895345
744	0.08019225521
745	0.08017741927
746	0.08014347655
747	0.07999779706
748	0.07995969143
749	0.07992423662
750	0.07975621285
751	0.07967427584
752	0.07961589493
753	0.07950774028
754	0.07939292524
755	0.07923240783
756	0.07922970436
757	0.07917106907
758	0.07914650161
759	0.07902077713
760	0.0790133558
761	0.07889240561
762	0.07871186044
763	0.07865961277
764	0.07858729267
765	0.07857454904
766	0.0785628526
767	0.07841971343
768	0.07820671527
769	0.07809274876
770	0.07802489784
771	0.07800249753
772	0.07798088267
773	0.07789929103
774	0.07786892151
775	0.07786040244
776	0.07778998785
777	0.07769009865
778	0.07755066481
779	0.07747841505
780	0.07742402236
781	0.07738286821
782	0.07726462531
783	0.07697979699
784	0.07684820591
785	0.07683888128
786	0.07680237751
787	0.07676395046
788	0.07673261195
789	0.07666239268
790	0.07654677135
791	0.07648424143
792	0.07643869041
793	0.07634571682
794	0.07633717315
795	0.07620079504
796	0.07619046147
797	0.07618327167
798	0.0761499484
799	0.07611493005
800	0.07606616336
801	0.07600357041
