iter	Passed	Remaining
0	1062	1061120
1	1941	968926
2	2831	940854
3	3722	926852
4	4623	920118
5	5556	920559
6	6527	926004
7	7461	925185
8	8397	924678
9	9343	924969
10	10295	925697
11	11247	926079
12	12206	926787
13	13124	924339
14	14025	920976
15	14934	918446
16	15849	916465
17	16788	915897
18	17712	914532
19	18711	916875
20	19800	923087
21	20989	933069
22	22077	937798
23	23060	937779
24	24067	938619
25	25128	941335
26	26181	943507
27	27302	947785
28	28391	950632
29	29370	949661
30	30449	951781
31	31436	950958
32	32437	950530
33	33444	950217
34	34481	950701
35	35491	950395
36	36471	949254
37	37472	948646
38	38476	948094
39	39473	947361
40	40458	946337
41	41429	944984
42	42385	943330
43	43381	942560
44	44360	941419
45	45317	939839
46	46317	939160
47	47301	938147
48	48314	937686
49	49295	936611
50	50336	936652
51	51317	935559
52	52294	934403
53	53270	933214
54	54284	932698
55	55420	934237
56	56639	937034
57	57885	940136
58	59023	941370
59	60345	945412
60	61479	946381
61	62583	946831
62	63561	945349
63	64548	944026
64	65612	943806
65	66695	943846
66	67972	946539
67	69126	947440
68	70149	946503
69	71175	945618
70	72241	945247
71	73294	944683
72	74330	943891
73	75363	943068
74	76375	941963
75	77430	941392
76	78416	939979
77	79398	938532
78	80390	937214
79	81439	936551
80	82516	936205
81	83617	936106
82	84755	936393
83	85889	936607
84	87028	936837
85	88036	935645
86	89117	935219
87	90259	935420
88	91360	935164
89	92560	935886
90	93997	938937
91	95112	938717
92	96219	938397
93	97239	937225
94	98302	936458
95	99345	935504
96	100389	934557
97	101438	933652
98	102472	932606
99	103494	931449
100	104506	930207
101	105469	928540
102	106553	927947
103	107657	927508
104	108679	926362
105	109690	925129
106	110704	923912
107	111752	922994
108	112796	922034
109	113780	920591
110	114805	919476
111	115859	918601
112	116908	917677
113	117994	917042
114	119111	916638
115	120196	915982
116	121318	915594
117	122363	914612
118	123345	913170
119	124329	911752
120	125405	911005
121	126432	909900
122	127466	908844
123	128500	907792
124	129558	906909
125	130643	906213
126	131695	905275
127	132764	904456
128	133899	904078
129	134879	902653
130	135857	901225
131	136802	899576
132	137745	897937
133	138697	896360
134	139757	895484
135	140785	894400
136	141779	893104
137	142758	891725
